# === Registry (Add/Remove Programs) ===
# Exported: 2026-04-07 14:14:38


DisplayName                                                                   DisplayVersion     Publisher             
-----------                                                                   --------------     ---------             
 Tools for .Net 3.5                                                           3.11.50727         Microsoft Corporation 
µTorrent                                                                      3.6.0.47228        BitTorrent Limited    
7-Zip 26.00 (x64)                                                             26.00              Igor Pavlov           
AMD Chipset Software                                                          6.10.22.027        Advanced Micro Devi...
AMD GPIO2 Driver                                                              2.2.0.133          Advanced Micro Devi...
AMD PCI Driver                                                                1.0.0.90           Advanced Micro Devi...
AMD PSP Driver                                                                5.30.0.0           Advanced Micro Devi...
AMD Ryzen Balanced Driver                                                     8.0.0.13           Advanced Micro Devi...
AMD Ryzen Master SDK                                                          2.14.2.3330        Advanced Micro Devi...
AMD SBxxx SMBus Driver                                                        5.12.0.44          Advanced Micro Devi...
AMD_Chipset_Drivers                                                           6.10.22.027        Advanced Micro Devi...
Android Studio                                                                2024.2             Google LLC            
Antigravity (User)                                                            1.20.5             Google                
Audacity 3.7.7                                                                3.7.7              Audacity Team         
Autoruns                                                                      14.11              Sysinternals          
Bambu Studio                                                                  02.05.00.66        Bambulab              
Bonjour                                                                       3.1.0.1            Apple Inc.            
Brave                                                                         146.1.88.138       Brave Software Inc    
Claude Code                                                                   2.1.77             Anthropic PBC         
ClickOnce Bootstrapper Package for Microsoft .NET Framework                   4.8.09256          Microsoft Corporation 
CPUID CPU-Z MSI 2.18                                                          2.18               CPUID, Inc.           
Cursor (User)                                                                 2.6.20             Anysphere             
DiagnosticsHub_CollectionService                                              18.3.36721         Microsoft Corporation 
DiskGenius V6.0.0                                                                                Yizisoo Software Co...
Docker Desktop                                                                4.67.0             Docker Inc.           
EA SPORTS FC 24                                                               1.0.120.18322      Electronic Arts       
ENE Video Capture Box HAL                                                     1.0.5.15           Ene Tech.             
ENE_EHD_M2_HAL                                                                1.0.14.0           ENE TECHNOLOGY INC.   
ENE_External_Device_HAL                                                       1.0.14.0           ENE Tech              
ENE_MousePad_HAL                                                              1.0.2.0            ENE TECHNOLOGY INC.   
ENE_X_AIC_HAL                                                                 1.0.6.3            ENE TECHNOLOGY INC.   
Entity Framework 6.5.0 Tools  for Visual Studio 2022                          6.5.0.0            Microsoft Corporation 
Everything 1.4.1.1026 (x86)                                                   1.4.1.1026         voidtools             
FanControl                                                                    262                Remi Mercier Softwa...
FFmpeg                                                                        8.0.1              Gyan                  
Git                                                                           2.53.0.2           The Git Development...
GlassWire 3.8 (remove only)                                                   3.8.1033           GlassWire             
Google Chrome                                                                 146.0.7680.178     Google LLC            
icecap_collection_neutral                                                     17.14.36015        Microsoft Corporation 
icecap_collection_x64                                                         17.14.36015        Microsoft Corporation 
IIS 10.0 Express                                                              10.0.10007         Microsoft Corporation 
IIS Express Application Compatibility Database for x64                                                                 
IIS Express Application Compatibility Database for x86                                                                 
IntelliTraceProfilerProxy                                                     15.0.21225.01      Microsoft Corporation 
Java(TM) SE Development Kit 22.0.2 (64-bit)                                   22.0.2.0           Oracle Corporation    
Logi Options+                                                                 2.1.854977         Logitech              
Logi Plugin Service                                                           6.2.6.1611         Logitech              
Logi RightSightForWebcams 1.1.207                                             1.1.207.0          Logitech              
MetaTrader 5                                                                  5.00               MetaQuotes Ltd.       
Microsoft .NET 10.0 Templates 10.0.200 x64                                    40.10.56662        Microsoft Corporation 
Microsoft .NET 8.0 Templates 8.0.419 (x64)                                    32.14.55941        Microsoft Corporation 
Microsoft .NET 9.0 Templates 9.0.312 (x64)                                    36.11.56644        Microsoft Corporation 
Microsoft .NET AppHost Pack - 10.0.4 (x64)                                    80.16.48830        Microsoft Corporation 
Microsoft .NET AppHost Pack - 10.0.4 (x64_arm64)                              80.16.48830        Microsoft Corporation 
Microsoft .NET AppHost Pack - 10.0.4 (x64_x86)                                80.16.48830        Microsoft Corporation 
Microsoft .NET AppHost Pack - 8.0.25 (x64)                                    64.100.48707       Microsoft Corporation 
Microsoft .NET AppHost Pack - 8.0.25 (x64_arm64)                              64.100.48707       Microsoft Corporation 
Microsoft .NET AppHost Pack - 8.0.25 (x64_x86)                                64.100.48707       Microsoft Corporation 
Microsoft .NET AppHost Pack - 9.0.14 (x64)                                    72.56.48826        Microsoft Corporation 
Microsoft .NET AppHost Pack - 9.0.14 (x64_arm64)                              72.56.48826        Microsoft Corporation 
Microsoft .NET AppHost Pack - 9.0.14 (x64_x86)                                72.56.48826        Microsoft Corporation 
Microsoft .NET Framework 4.6 Targeting Pack                                   4.6.00081          Microsoft Corporation 
Microsoft .NET Framework 4.6.1 SDK                                            4.6.01055          Microsoft Corporation 
Microsoft .NET Framework 4.6.1 Targeting Pack                                 4.6.01055          Microsoft Corporation 
Microsoft .NET Framework 4.6.2 SDK                                            4.6.01590          Microsoft Corporation 
Microsoft .NET Framework 4.6.2 Targeting Pack                                 4.6.01590          Microsoft Corporation 
Microsoft .NET Framework 4.6.2 Targeting Pack (ENU)                           4.6.01590          Microsoft Corporation 
Microsoft .NET Framework 4.7 SDK                                              4.7.02053          Microsoft Corporation 
Microsoft .NET Framework 4.7 Targeting Pack                                   4.7.02053          Microsoft Corporation 
Microsoft .NET Framework 4.7 Targeting Pack (ENU)                             4.7.02053          Microsoft Corporation 
Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)            4.7.02558          Microsoft Corporation 
Microsoft .NET Framework 4.7.1 SDK                                            4.7.02558          Microsoft Corporation 
Microsoft .NET Framework 4.7.1 Targeting Pack                                 4.7.02558          Microsoft Corporation 
Microsoft .NET Framework 4.7.2 SDK                                            4.7.03062          Microsoft Corporation 
Microsoft .NET Framework 4.7.2 Targeting Pack                                 4.7.03062          Microsoft Corporation 
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                           4.7.03062          Microsoft Corporation 
Microsoft .NET Framework 4.8 SDK                                              4.8.03928          Microsoft Corporation 
Microsoft .NET Framework 4.8 Targeting Pack                                   4.8.03761          Microsoft Corporation 
Microsoft .NET Framework 4.8 Targeting Pack (ENU)                             4.8.03761          Microsoft Corporation 
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU) 4.8.09037          Microsoft Corporation 
Microsoft .NET Host - 10.0.4 (x86)                                            80.16.48830        Microsoft Corporation 
Microsoft .NET Host - 10.0.5 (x64)                                            80.20.50175        Microsoft Corporation 
Microsoft .NET Host - 8.0.25 (x64)                                            64.100.48707       Microsoft Corporation 
Microsoft .NET Host - 8.0.25 (x86)                                            64.100.48707       Microsoft Corporation 
Microsoft .NET Host FX Resolver - 10.0.4 (x64)                                80.16.48830        Microsoft Corporation 
Microsoft .NET Host FX Resolver - 10.0.4 (x86)                                80.16.48830        Microsoft Corporation 
Microsoft .NET Host FX Resolver - 10.0.5 (x64)                                80.20.50175        Microsoft Corporation 
Microsoft .NET Host FX Resolver - 8.0.25 (x64)                                64.100.48707       Microsoft Corporation 
Microsoft .NET Host FX Resolver - 8.0.25 (x86)                                64.100.48707       Microsoft Corporation 
Microsoft .NET Runtime - 10.0.4 (x64)                                         80.16.48830        Microsoft Corporation 
Microsoft .NET Runtime - 10.0.4 (x86)                                         80.16.48830        Microsoft Corporation 
Microsoft .NET Runtime - 10.0.5 (x64)                                         80.20.50175        Microsoft Corporation 
Microsoft .NET Runtime - 8.0.25 (x64)                                         64.100.48707       Microsoft Corporation 
Microsoft .NET Runtime - 8.0.25 (x86)                                         64.100.48707       Microsoft Corporation 
Microsoft .NET Runtime - 9.0.14 (x64)                                         72.56.48826        Microsoft Corporation 
Microsoft .NET Runtime - 9.0.14 (x86)                                         72.56.48826        Microsoft Corporation 
Microsoft .NET SDK 10.0.200 (x64) from Visual Studio                          40.10.56662        Microsoft Corporation 
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                          24.0.28113         Microsoft Corporation 
Microsoft .NET Targeting Pack - 10.0.4 (x64)                                  80.16.48830        Microsoft Corporation 
Microsoft .NET Targeting Pack - 10.0.4 (x86)                                  80.16.48830        Microsoft Corporation 
Microsoft .NET Targeting Pack - 8.0.25 (x64)                                  64.100.48707       Microsoft Corporation 
Microsoft .NET Targeting Pack - 8.0.25 (x86)                                  64.100.48707       Microsoft Corporation 
Microsoft .NET Targeting Pack - 9.0.14 (x64)                                  72.56.48826        Microsoft Corporation 
Microsoft .NET Targeting Pack - 9.0.14 (x86)                                  72.56.48826        Microsoft Corporation 
Microsoft .NET Toolset 10.0.200 (x64)                                         40.10.56662        Microsoft Corporation 
Microsoft ASP.NET Core 8.0.25 - Shared Framework (x64)                        8.0.25.26112       Microsoft Corporation 
Microsoft ASP.NET Core 8.0.25 - Shared Framework (x86)                        8.0.25.26112       Microsoft Corporation 
Microsoft ASP.NET Core 8.0.25 Shared Framework (x64)                          8.0.25.26112       Microsoft Corporation 
Microsoft ASP.NET Core 8.0.25 Shared Framework (x86)                          8.0.25.26112       Microsoft Corporation 
Microsoft ASP.NET Core 8.0.25 Targeting Pack (x64)                            8.0.25.26112       Microsoft Corporation 
Microsoft ASP.NET Core 8.0.25 Targeting Pack (x86)                            8.0.25.26112       Microsoft Corporation 
Microsoft ASP.NET Core 9.0.14 Shared Framework (x64)                          9.0.14.26119       Microsoft Corporation 
Microsoft ASP.NET Core 9.0.14 Shared Framework (x86)                          9.0.14.26119       Microsoft Corporation 
Microsoft ASP.NET Core 9.0.14 Targeting Pack (x64)                            9.0.14.26119       Microsoft Corporation 
Microsoft ASP.NET Core 9.0.14 Targeting Pack (x86)                            9.0.14.26119       Microsoft Corporation 
Microsoft ASP.NET Core Module for IIS Express                                 12.2.18292.0       Microsoft Corporation 
Microsoft ASP.NET Core Module V2 for IIS Express                              17.0.22116.0       Microsoft Corporation 
Microsoft ASP.NET Core Runtime - 10.0.4 (x64)                                 80.16.48830        Microsoft Corporation 
Microsoft ASP.NET Core Runtime - 10.0.4 (x86)                                 80.16.48830        Microsoft Corporation 
Microsoft ASP.NET Core Targeting Pack - 10.0.4 (x64)                          80.16.48830        Microsoft Corporation 
Microsoft ASP.NET Core Targeting Pack - 10.0.4 (x86)                          80.16.48830        Microsoft Corporation 
Microsoft ASP.NET Diagnostic Pack for Visual Studio                           18.4.31.30898      Microsoft Corporation 
Microsoft Command Line Utilities 15 for SQL Server                            15.0.1300.359      Microsoft Corporation 
Microsoft Edge                                                                146.0.3856.109     Microsoft Corporation 
Microsoft Edge WebView2 Runtime                                               146.0.3856.97      Microsoft Corporation 
Microsoft GameInput                                                           3.3.163.0          Microsoft Corporation 
Microsoft ODBC Driver 17 for SQL Server                                       17.10.6.1          Microsoft Corporation 
Microsoft SQL Server 2019 LocalDB                                             15.0.4382.1        Microsoft Corporation 
Microsoft SQL Server 2025 LocalDB                                             17.0.1000.7        Microsoft Corporation 
Microsoft System CLR Types for SQL Server 2019                                15.0.2000.5        Microsoft Corporation 
Microsoft Teams Meeting Add-in for Microsoft Office                           1.24.31301         Microsoft             
Microsoft TestPlatform SDK Local Feed                                         17.10.0.9037153    Microsoft             
Microsoft Update Health Tools                                                 5.72.0.0           Microsoft Corporation 
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161                9.0.30729.6161     Microsoft Corporation 
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161                9.0.30729.6161     Microsoft Corporation 
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                   10.0.40219         Microsoft Corporation 
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610                  11.0.60610.1       Microsoft Corporation 
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030                  11.0.61030.0       Microsoft Corporation 
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610                  11.0.60610.1       Microsoft Corporation 
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030                  11.0.61030.0       Microsoft Corporation 
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030                 11.0.61030         Microsoft Corporation 
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                    11.0.61030         Microsoft Corporation 
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                 11.0.61030         Microsoft Corporation 
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                    11.0.61030         Microsoft Corporation 
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501                  12.0.30501.0       Microsoft Corporation 
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664                  12.0.40664.0       Microsoft Corporation 
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501                  12.0.30501.0       Microsoft Corporation 
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664                  12.0.40664.0       Microsoft Corporation 
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664                 12.0.40664         Microsoft Corporation 
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664                    12.0.40664         Microsoft Corporation 
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                 12.0.40664         Microsoft Corporation 
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                    12.0.40664         Microsoft Corporation 
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719                14.50.35719        Microsoft Corporation 
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719                   14.50.35719        Microsoft Corporation 
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.50.35719                14.50.35719        Microsoft Corporation 
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.50.35719                   14.50.35719        Microsoft Corporation 
Microsoft Visual C++ v14 Redistributable (x64) - 14.50.35719                  14.50.35719.0      Microsoft Corporation 
Microsoft Visual C++ v14 Redistributable (x86) - 14.50.35719                  14.50.35719.0      Microsoft Corporation 
Microsoft Visual Studio Code (User)                                           1.114.0            Microsoft Corporation 
Microsoft Visual Studio Installer                                             4.4.38.63497       Microsoft Corporation 
Microsoft Visual Studio Setup Configuration                                   4.3.2028.6109      Microsoft Corporation 
Microsoft Visual Studio Setup WMI Provider                                    4.3.2028.6109      Microsoft Corporation 
Microsoft Web Deploy 4.0                                                      10.0.9419          Microsoft Corporation 
Microsoft Windows Desktop Runtime - 10.0.4 (x64)                              80.16.48830        Microsoft Corporation 
Microsoft Windows Desktop Runtime - 10.0.4 (x86)                              80.16.48830        Microsoft Corporation 
Microsoft Windows Desktop Runtime - 10.0.5 (x64)                              80.20.50175        Microsoft Corporation 
Microsoft Windows Desktop Runtime - 8.0.25 (x64)                              64.100.48707       Microsoft Corporation 
Microsoft Windows Desktop Runtime - 8.0.25 (x86)                              8.0.25.35812       Microsoft Corporation 
Microsoft Windows Desktop Runtime - 9.0.14 (x64)                              72.56.48819        Microsoft Corporation 
Microsoft Windows Desktop Runtime - 9.0.14 (x86)                              72.56.48819        Microsoft Corporation 
Microsoft Windows Desktop Runtime 10.0.5 (x64)                                10.0.5.50000       Microsoft Corporation 
Microsoft Windows Desktop Targeting Pack - 10.0.4 (x64)                       80.16.48830        Microsoft Corporation 
Microsoft Windows Desktop Targeting Pack - 10.0.4 (x86)                       80.16.48830        Microsoft Corporation 
Microsoft Windows Desktop Targeting Pack - 8.0.25 (x64)                       64.100.48707       Microsoft Corporation 
Microsoft Windows Desktop Targeting Pack - 8.0.25 (x86)                       64.100.48707       Microsoft Corporation 
Microsoft Windows Desktop Targeting Pack - 9.0.14 (x64)                       72.56.48819        Microsoft Corporation 
Microsoft Windows Desktop Targeting Pack - 9.0.14 (x86)                       72.56.48819        Microsoft Corporation 
Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)                             36.1.30            Microsoft Corporation 
Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)                                 255.222.10217      Microsoft Corporation 
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)                         255.222.10217      Microsoft Corporation 
Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)                               255.222.10217      Microsoft Corporation 
Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)                                10.0.20            Microsoft Corporation 
Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)                                255.222.10217      Microsoft Corporation 
Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)             81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)                81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)                81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)                81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)                81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)         81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)            81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)            81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)            81.160.48830       Microsoft Corporation 
Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)            81.160.48830       Microsoft Corporation 
Mozilla Firefox (x64 en-US)                                                   149.0              Mozilla               
Mozilla Maintenance Service                                                   149.0              Mozilla               
MSI Center SDK                                                                3.2026.0123.01     MSI                   
Node.js                                                                       22.22.0            Node.js Foundation    
Norton 360                                                                    26.2.10802.2386    Gen Digital Inc.      
Norton Update Helper                                                          1.8.1989.6         Norton LifeLock       
Notepad++ (64-bit x64)                                                        8.9.3              Notepad++ Team        
Notion 7.7.1                                                                  7.7.1              Notion Labs, Inc      
Npgsql 3.2.6                                                                  3.2.6-3            EnterpriseDB          
NvCpl                                                                         1.0                NVIDIA Corporation    
NVIDIA AIUser Container                                                       1.48               NVIDIA Corporation    
NVIDIA App 11.0.6.383                                                         11.0.6.383         NVIDIA Corporation    
NVIDIA Backend                                                                11.0.6.383         NVIDIA Corporation    
NVIDIA Container                                                              1.48               NVIDIA Corporation    
